2026-09-06T09:54:47.723622101Z 
2026-09-06T09:54:47.723686882Z PostgreSQL Database directory appears to contain a database; Skipping initialization
2026-09-06T09:54:47.723690943Z 
2026-09-06T09:54:47.892605383Z 2026-09-06 09:54:47.892 UTC [1] LOG:  starting PostgreSQL 16.13 on x86_64-pc-linux-musl, compiled by gcc (Alpine 15.2.0) 15.2.0, 64-bit
2026-09-06T09:54:47.898901674Z 2026-09-06 09:54:47.898 UTC [1] LOG:  listening on IPv4 address "0.0.0.0", port 5432
2026-09-06T09:54:47.899277718Z 2026-09-06 09:54:47.899 UTC [1] LOG:  listening on IPv6 address "::", port 5432
2026-09-06T09:54:47.923864211Z 2026-09-06 09:54:47.923 UTC [1] LOG:  listening on Unix socket "/var/run/postgresql/.s.PGSQL.5432"
2026-09-06T09:54:47.953655990Z 2026-09-06 09:54:47.953 UTC [16] LOG:  database system was shut down at 2026-09-06 09:53:30 UTC
2026-09-06T09:54:48.013531619Z 2026-09-06 09:54:47.983 UTC [1] LOG:  database system is ready to accept connections
2026-09-06T09:55:08.206318610Z 2026-09-06 09:55:08.206 UTC [41] ERROR:  function aurora_version() does not exist at character 8
2026-09-06T09:55:08.206353190Z 2026-09-06 09:55:08.206 UTC [41] HINT:  No function matches the given name and argument types. You might need to add explicit type casts.
2026-09-06T09:55:08.206359150Z 2026-09-06 09:55:08.206 UTC [41] STATEMENT:  SELECT aurora_version()
2026-09-06T09:59:48.031624905Z 2026-09-06 09:59:48.031 UTC [14] LOG:  checkpoint starting: time
2026-09-06T09:59:48.145005045Z 2026-09-06 09:59:48.144 UTC [14] LOG:  checkpoint complete: wrote 3 buffers (0.0%); 0 WAL file(s) added, 0 removed, 0 recycled; write=0.104 s, sync=0.003 s, total=0.114 s; sync files=3, longest=0.002 s, average=0.001 s; distance=0 kB, estimate=0 kB; lsn=0/1E9B098, redo lsn=0/1E9B060
2026-09-06T11:49:49.977009072Z 2026-09-06 11:49:49.976 UTC [14] LOG:  checkpoint starting: time
2026-09-06T11:49:51.300093511Z 2026-09-06 11:49:51.299 UTC [14] LOG:  checkpoint complete: wrote 14 buffers (0.1%); 0 WAL file(s) added, 0 removed, 0 recycled; write=1.311 s, sync=0.005 s, total=1.324 s; sync files=14, longest=0.003 s, average=0.001 s; distance=42 kB, estimate=42 kB; lsn=0/1EA5A70, redo lsn=0/1EA5A38
2026-09-06T12:09:49.613586396Z 2026-09-06 12:09:49.613 UTC [14] LOG:  checkpoint starting: time
2026-09-06T12:09:50.853268921Z 2026-09-06 12:09:50.853 UTC [14] LOG:  checkpoint complete: wrote 13 buffers (0.1%); 0 WAL file(s) added, 0 removed, 0 recycled; write=1.209 s, sync=0.010 s, total=1.241 s; sync files=13, longest=0.005 s, average=0.001 s; distance=38 kB, estimate=42 kB; lsn=0/1EAF2E0, redo lsn=0/1EAF2A8
2026-09-06T12:19:50.004616464Z 2026-09-06 12:19:50.004 UTC [14] LOG:  checkpoint starting: time
